body,fake,source
,,
"Clariant CEO exits after 10 months amid key talks with SABIC<img width=""286"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T051905Z_1_LYNXNPEF6N08Q_RTROPTP_0_CLARIANT-RESULTS_1-286x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T051905Z_1_LYNXNPEF6N08Q_RTROPTP_0_CLARIANT-RESULTS_1-286x210.jpg 286w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T051905Z_1_LYNXNPEF6N08Q_RTROPTP_0_CLARIANT-RESULTS_1-768x564.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T051905Z_1_LYNXNPEF6N08Q_RTROPTP_0_CLARIANT-RESULTS_1-595x437.jpg 595w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T051905Z_1_LYNXNPEF6N08Q_RTROPTP_0_CLARIANT-RESULTS_1.jpg 800w"" sizes=""(max-width: 286px) 100vw, 286px"" />By John Miller ZURICH (Reuters) - Clariant  Chief Executive Ernesto Ochiello has quit after just 10 months, an abrupt move that comes as the Swiss specialty chemicals maker negotiates with 25%",1,NEWS18
,,
"Missing Canada teens now suspects in murder of tourists<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T185957Z_1_LYNXNPEF6M1IL_RTROPTP_0_CANADA-DEATHS-COUPLE_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T185957Z_1_LYNXNPEF6M1IL_RTROPTP_0_CANADA-DEATHS-COUPLE_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T185957Z_1_LYNXNPEF6M1IL_RTROPTP_0_CANADA-DEATHS-COUPLE_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T185957Z_1_LYNXNPEF6M1IL_RTROPTP_0_CANADA-DEATHS-COUPLE_1-656x437.jpg 656w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T185957Z_1_LYNXNPEF6M1IL_RTROPTP_0_CANADA-DEATHS-COUPLE_1.jpg 800w"" sizes=""(max-width: 315px) 100vw, 315px"" />By Moira Warburton (Reuters) - Two teenagers, first categorized as missing in Canada, are now suspects in the murder of an Australian tourist, his American girlfriend and an unidentified man whose",1,NEWS18
,,
"Daimler second-quarter hammered by one-off, diesel charges<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T052019Z_1_LYNXNPEF6N08S_RTROPTP_0_DAIMLER-RESULTS_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T052019Z_1_LYNXNPEF6N08S_RTROPTP_0_DAIMLER-RESULTS_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T052019Z_1_LYNXNPEF6N08S_RTROPTP_0_DAIMLER-RESULTS_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T052019Z_1_LYNXNPEF6N08S_RTROPTP_0_DAIMLER-RESULTS_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T052019Z_1_LYNXNPEF6N08S_RTROPTP_0_DAIMLER-RESULTS_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />FRANKFURT (Reuters) - Luxury car maker Daimler  said it would intensify cost cuts after legal risks for diesel-related issues and the cost of replacing Takata airbags triggered a 1.56",1,NEWS18
,,
"Warren Buffett’s charity lunch postponed after cryptocurrency promoter falls ill<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T062652Z_1_LYNXNPEF6M0BF_RTROPTP_0_BUFFETT-LUNCH_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T062652Z_1_LYNXNPEF6M0BF_RTROPTP_0_BUFFETT-LUNCH_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T062652Z_1_LYNXNPEF6M0BF_RTROPTP_0_BUFFETT-LUNCH_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T062652Z_1_LYNXNPEF6M0BF_RTROPTP_0_BUFFETT-LUNCH_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-23T062652Z_1_LYNXNPEF6M0BF_RTROPTP_0_BUFFETT-LUNCH_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />NEW YORK/HONG KONG (Reuters) - Chinese cryptocurrency entrepreneur Justin Sun postponed his $4.57 million charity lunch with Warren Buffett after falling ill with kidney stones, according to a",1,NEWS18
,,
"Italian banks consider conditions set by CCB for Carige rescue unacceptable: press<img width=""364"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T054148Z_1_LYNXNPEF6N09V_RTROPTP_0_EUROZONE-BANKS-ITALY-CARIGE_1-364x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T054148Z_1_LYNXNPEF6N09V_RTROPTP_0_EUROZONE-BANKS-ITALY-CARIGE_1-364x210.jpg 364w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T054148Z_1_LYNXNPEF6N09V_RTROPTP_0_EUROZONE-BANKS-ITALY-CARIGE_1-768x443.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T054148Z_1_LYNXNPEF6N09V_RTROPTP_0_EUROZONE-BANKS-ITALY-CARIGE_1-758x437.jpg 758w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-24T054148Z_1_LYNXNPEF6N09V_RTROPTP_0_EUROZONE-BANKS-ITALY-CARIGE_1.jpg 800w"" sizes=""(max-width: 364px) 100vw, 364px"" />MILAN (Reuters) - Italian depositor guarantee fund FITD, financed by the country's lenders, does not consider acceptable some of the conditions set by cooperative bank Cassa Centrale Banca to join a",1,NEWS18
