body,fake,source
" Donald Trump calls UK PM Theresa May foolish and her envoy wacky over leaked memos   <a href=""https://www.indiatoday.in/world/story/donald-trump-calls-uk-pm-theresa-may-foolish-and-her-envoy-wacky-over-leaked-memos-1565731-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/2019-06-28T054554Z_1533224461_-647x363.png?F4KuTJ1c795oyEWL_cy_eGNadln0nD4g""> </a> Donald Trump calls UK PM Theresa May foolish and her envoy wacky over leaked memos",0,India Today
,,
" Pakistan news anchor shot dead outside Karachi cafe   <a href=""https://www.indiatoday.in/world/story/pakistan-news-anchor-shot-dead-outside-karachi-cafe-1565711-2019-07-10""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/noida-techie-death-R-647x363.jpeg?PUduwaYXmv9TU5c5CfOG1wDh3HLWWikq""> </a> Pakistan news anchor shot dead outside Karachi cafe",0,India Today
,,
" 2 Indian expats win $1 million in Dubai raffle   <a href=""https://www.indiatoday.in/world/story/2-indian-expats-win-1-million-in-dubai-raffle-1565542-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/dubaii-647x363.png?B3G5MScVVOsOqaMoO0vH7FiKYPAyShUu""> </a> 2 Indian expats win $1 million in Dubai raffle",0,India Today
,,
" Former Argentine President Fernando De la Rúa dies at 81   <a href=""https://www.indiatoday.in/world/story/former-argentine-president-fernando-de-la-r-a-dies-at-81-1565477-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19190121854689-647x363.jpeg?P9YKYbCKEERCR7.si4lgzypr1Y0Zl7ah""> </a> Former Argentine President Fernando De la Rúa dies at 81",0,India Today
,,
" India vs New Zealand: Old Trafford air space to remain shut during semifinal clash   <a href=""https://www.indiatoday.in/world/story/icc-world-cup-2019-india-vs-new-zealand-old-trafford-air-space-to-remain-shut-during-semifinal-clash-1565267-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Old_trafford27052019-647x363.jpeg?eEOnHJrxA93ouWvGp4KtXb.Mpp7iFw7m""> </a> India vs New Zealand: Old Trafford air space to remain shut during semifinal clash",0,India Today
,,
" Pakistan not invited by Russia for Eastern Economic Forum   <a href=""https://www.indiatoday.in/world/story/pakistan-not-invited-by-russia-for-eastern-economic-forum-1565125-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/imran_khan_0-647x363.jpeg?j2FDgJqAFuVPhEPPn68ZxmgTPjKhH4aD""> </a> Pakistan not invited by Russia for Eastern Economic Forum",0,India Today
,,
" Indian visitor in US extradited to Germany for raping minor   <a href=""https://www.indiatoday.in/world/story/indian-visitor-in-us-extradited-to-germany-for-raping-minor-1565142-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/rape-story_647_061716023530_0-647x363.jpeg?0JjO5QixMmDaJLhaxTYTvs3TsmgHaa8b""> </a> Indian visitor in US extradited to Germany for raping minor",0,India Today
,,
" Jill Biden says American people know Joe Biden isn't racist   <a href=""https://www.indiatoday.in/world/story/jill-biden-democratic-presidential-debate-1565103-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/19179042960717-647x363.jpeg?ppIEqi12JrGfOOwcNQ.aMwqIWNF_jbZ1""> </a> Jill Biden says American people know Joe Biden isn't racist",0,India Today
,,
" Pakistan to receive $1 billion IMF instalment on Tuesday   <a href=""https://www.indiatoday.in/world/story/pakistan-to-receive-1billion-imf-instalment-1565069-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Capture_47-647x363.png?5dcjYEoFUwsraDT20qERExLB4ivN0JX1""> </a> Pakistan to receive $1 billion IMF instalment on Tuesday",0,India Today
,,
" Hong Kong leader says extradition bill is dead after mass protests   <a href=""https://www.indiatoday.in/world/story/hong-kong-extradition-bill-carrie-lam-1565066-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/HongKong-647x363.png?5RMdsvM7OGrlOz9VSl21SkRhvqEtbqdK""> </a> Hong Kong leader says extradition bill is dead after mass protests",0,India Today
,,
" In Japan, the business of watching whales is far larger than hunting them   <a href=""https://www.indiatoday.in/world/story/japan-whales-fishing-1565035-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/whales-647x363.png?XHwVnr7ofXo5oqJnTuRWj0MNoJELdBeG""> </a> In Japan, the business of watching whales is far larger than hunting them",0,India Today
,,
" Iran breaches key uranium enrichment limit in nuclear deal   <a href=""https://www.indiatoday.in/world/story/iran-breaches-key-uranium-enrichment-limit-in-nuclear-deal-1565010-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP19188284684298-647x363.jpeg?kL8OQpxdiXULq5n4EhG8eo_0aN0yw0Bz""> </a> Iran breaches key uranium enrichment limit in nuclear deal",0,India Today
,,
" Life-threatening rains pound US capital, White House basement offices leak   <a href=""https://www.indiatoday.in/world/story/life-threatening-rains-pound-us-capital-white-house-basement-offices-leak-1565002-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/TWITTER-647x363.png?OdPeWB76qrj8LrD.EbP5viFsoP2QEHVd""> </a> Life-threatening rains pound US capital, White House basement offices leak",0,India Today
,,
" US Financier Epstein pleads not guilty to sex trafficking charges involving girls   <a href=""https://www.indiatoday.in/world/story/us-financier-epstein-pleads-not-guilty-to-sex-trafficking-charges-involving-girls-1564983-2019-07-09""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/jef-647x363.png?BGYKDiqYYPYTsGMSKwp0PxX85Daqxn2w""> </a> US Financier Epstein pleads not guilty to sex trafficking charges involving girls",0,India Today
,,
" Pakistan's heaviest man, who weighed over 330 kg, dies after being left unattended in ICU    <a href=""https://www.indiatoday.in/world/story/pakistan-s-heaviest-man-who-weighed-over-330-kg-dies-after-being-left-unattended-in-icu-1564696-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/pakistan-647x363.jpeg?RKDhHRwvtzreTr.KHnNchYaEQgZdaKXC""> </a> Pakistan's heaviest man, who weighed over 330 kg, dies after being left unattended in ICU ",0,India Today
,,
" Turkey: Russia preparing S-400 missile systems for delivery   <a href=""https://www.indiatoday.in/world/story/turkey-russia-preparing-s-400-missile-systems-for-delivery-1564527-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/turkey_erdogan-647x363.jpeg?OGQu3vll1G3EuTu31cFxSt4zw2f.NYsh""> </a> Turkey: Russia preparing S-400 missile systems for delivery",0,India Today
,,
" International court convicts Congo rebel leader known as Terminator   <a href=""https://www.indiatoday.in/world/story/bosco-ntaganda-terminator-court-convicts-congo-rebel-leader-1564526-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Congo-647x363.jpeg?.gTgZFDq7bK6rat.XeIycRJu.0EDOc9x""> </a> International court convicts Congo rebel leader known as Terminator",0,India Today
,,
" Christian family gives details of crackdown on church in China   <a href=""https://www.indiatoday.in/world/story/church-crackdown-china-christian-1564520-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/AP-647x363.jpeg?Rle8dgJUkaVTXDLxCUquIKXXoehWiWsW""> </a> Christian family gives details of crackdown on church in China",0,India Today
,,
" Iran says it has passed uranium enrichment cap set in 2015 US nuclear deal   <a href=""https://www.indiatoday.in/world/story/iran-says-it-has-passed-uranium-enrichment-cap-set-in-2015-us-nuclear-deal-1564517-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/iran_nuclear_deal-647x363.jpeg?n..At_BpLl0D3DForsmhZMHrmPg3JNxt""> </a> Iran says it has passed uranium enrichment cap set in 2015 US nuclear deal",0,India Today
,,
" Pakistani judge rejects opposition's blackmail claims over Nawaz Sharif's conviction   <a href=""https://www.indiatoday.in/world/story/pakistani-judge-rejects-opposition-blackmail-claim-nawaz-sharif-conviction-1564372-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/NAWAZ-647x363.png?eWTDWR4gHzg991A.4OUSpLyqoBapjJVd""> </a> Pakistani judge rejects opposition's blackmail claims over Nawaz Sharif's conviction",0,India Today
,,
" Australia tracks Chinese warship headed towards US-Australia war games   <a href=""https://www.indiatoday.in/world/story/australia-tracks-chinese-warship-headed-towards-us-australia-war-games-1564382-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/chinese-warship_647_0614171147-647x363.jpeg?_LSVLZmxG.IbLGfsIZ3enQxNJr8SAoeS""> </a> Australia tracks Chinese warship headed towards US-Australia war games",0,India Today
,,
" Asia's homicide rate lowest globally: UN study   <a href=""https://www.indiatoday.in/world/story/asia-s-homicide-rate-lowest-globally-un-study-1564399-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/Crime_-_Death_-_Reuters_-_3423-647x363.jpeg?IZgIF1kQ1FNolCLs8VYnP6W33qOyfs7i""> </a> Asia's homicide rate lowest globally: UN study",0,India Today
,,
" British Airways faces record fine of 183 million pounds for data breach   <a href=""https://www.indiatoday.in/world/story/british-airways-data-breach-1564389-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/BritishAirways-647x363.png?tX3zUdGviHF0PwRsoibigbAVvmDMP1a6""> </a> British Airways faces record fine of 183 million pounds for data breach",0,India Today
,,
" Hong Kong protesters march again, reaching out to Chinese visitors   <a href=""https://www.indiatoday.in/world/story/hong-kong-extradition-bill-protest-kowloon-march-1564260-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/hong_kong_protest2-647x363.jpeg?EKvL1CRrL4sFyi4TyHVY_qPm8q64mkUe""> </a> Hong Kong protesters march again, reaching out to Chinese visitors",0,India Today
,,
" Imran Khan wants to avoid pricey hotels during Washington trip   <a href=""https://www.indiatoday.in/world/story/imran-khan-pakistan-hotels-washington-1564243-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/download__1__0-647x363.jpeg?1DIKCnVviN9FiLr1Jc9w2x1P.3h7xn5T""> </a> Imran Khan wants to avoid pricey hotels during Washington trip",0,India Today
,,
" Maryam Nawaz demands Imran Khan's resignation   <a href=""https://www.indiatoday.in/world/story/maryam-nawaz-demands-imran-khan-s-resignation-1564230-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/maryam-647x363.png?VjopkDSTEdzyNiUtDlj_B5D9dHSuDAGQ""> </a> Maryam Nawaz demands Imran Khan's resignation",0,India Today
,,
" Iran ratchets up tensions with higher enrichment, draws warnings   <a href=""https://www.indiatoday.in/world/story/iran-ratchets-up-tensions-with-higher-enrichment-draws-warnings-1564203-2019-07-08""> <img align=""left"" hspace=""2"" height=""180"" width=""305"" alt="""" border=""0"" src=""https://akm-img-a-in.tosshub.com/indiatoday/images/story/201907/anti_us-647x363.png?XAN3qoA7j_3WIYJEqJw18FTcV8xjMdUP""> </a> Iran ratchets up tensions with higher enrichment, draws warnings",0,India Today
,,
